"INSEE_COM_TXT","Libellé.de.la.commune"
"'01150","Drom"
"'01249","Miribel"
"'06083","Menton"
"'06088","Nice"
"'10387","Troyes"
"'12202","Rodez"
"'13005","Aubagne"
"'13055","Marseille"
"'14118","Caen"
"'14228","Douvres-la-Délivrande"
"'14514","Pont-l'Evêque"
"'15012","Arpajon-sur-Cère"
"'17299","Rochefort"
"'24294","Montpon-Ménestérol"
"'24322","Périgueux"
"'29075","Guipavas"
"'45203","Meung-sur-Loire"
"'51454","Reims"
"'57672","Thionville"
"'59553","Santes"
"'69034","Caluire-et-Cuire"
"'69123","Lyon"
"'69244","Tassin-la-Demi-Lune"
"'69264","Villefranche-sur-Saône"
"'71342","Paray-le-Monial"
"'72154","La Flèche"
"'72181","Le Mans"
"'73008","Aix-les-Bains"
"'74012","Annemasse"
"'76217","Dieppe"
"'77083","Champs-sur-Marne"
"'78005","Achères"
"'78190","Croissy-sur-Seine"
"'78358","Maisons-Laffitte"
"'78361","Mantes-la-Jolie"
"'78396","Le Mesnil-le-Roi"
"'78551","Saint-Germain-en-Laye"
"'78646","Versailles"
"'80021","Amiens"
"'85163","Noirmoutier-en-l'Ile"
"'89024","Auxerre"
"'91021","Arpajon"
"'91272","Gif-sur-Yvette"
"'91377","Massy"
"'91471","Orsay"
"'91657","Vigneux-sur-Seine"
"'92004","Asnières-sur-Seine"
"'92023","Clamart"
"'92026","Courbevoie"
"'92040","Issy-les-Moulineaux"
"'92044","Levallois-Perret"
"'92046","Malakoff"
"'92048","Meudon"
"'92051","Neuilly-sur-Seine"
"'92063","Rueil-Malmaison"
"'92073","Suresnes"
"'93010","Bondy"
"'93031","Epinay-sur-Seine"
"'93063","Romainville"
"'93070","Saint-Ouen-sur-Seine"
"'94019","Chennevières-sur-Marne"
"'94022","Choisy-le-Roi"
"'94028","Créteil"
"'94033","Fontenay-sous-Bois"
"'94038","L'Hay-les-Roses"
"'94041","Ivry-sur-Seine"
"'94044","Limeil-Brévannes"
"'94068","Saint-Maur-des-Fossés"
"'94081","Vitry-sur-Seine"
"'95127","Cergy"
"'95582","Sannois"
